ich,geglaubt
geglaubt,es
es,wäre
wäre,sein
sein,ziel
ziel,sechzig
sechzig,und
und,siebzig
siebzig,jahre
jahre,alt
alt,zu
zu,worden
worden,und
und,immer
immer,weiter
weiter,die
die,künste
künste,und
und,übungen
übungen,zu
zu,treiben
treiben,welche
welche,den
den,samana
samana,zieren.
zieren.,aber
aber,sieh
sieh,ich
ich,hatte
hatte,govinda
govinda,zu
zu,wenig
wenig,gekannt
gekannt,wenig
wenig,wußte
wußte,ich
ich,von
von,seinem
seinem,herzen.
herzen.,nun
nun,also
also,willst
willst,du
du,teuerster
teuerster,einen
einen,neuen
neuen,pfad
pfad,einschlagen
einschlagen,und
und,dorthin
dorthin,gehen
gehen,wo
wo,der
der,buddha
buddha,seine
seine,lehre
lehre,verkündet.
verkündet.,sprach
sprach,govinda:
govinda:,"""dir"
"""dir",beliebt
beliebt,es
es,zu
zu,spotten.
spotten.,mögest
mögest,du
du,immerhin
immerhin,spotten
spotten,siddhartha!
siddhartha!,ist
ist,aber
aber,nicht
nicht,auch
auch,in
in,dir
dir,ein
ein,verlangen
verlangen,eine
eine,lust
lust,erwacht
erwacht,diese
diese,lehre
lehre,zu
zu,hören?
hören?,und
und,hast
hast,du
du,nicht
nicht,einst
einst,zu
zu,mir
mir,gesagt
gesagt,nicht
nicht,lange
lange,mehr
mehr,werdest
werdest,du
du,den
den,weg
weg,der
der,samanas
samanas,gehen?
gehen?,da
da,lachte
lachte,siddhartha
siddhartha,auf
auf,seine
seine,weise
weise,wobei
wobei,der
der,ton
ton,seiner
seiner,stimme
stimme,einen
einen,schatten
schatten,von
von,trauer
trauer,und
und,einen
einen,schatten
schatten,von
von,spott
spott,annahm
annahm,und
und,sagte:
sagte:,"""wohl"
"""wohl",govinda
govinda,wohl
wohl,hast
hast,du
du,gesprochen
gesprochen,richtig
richtig,hast
hast,du
du,dich
dich,erinnert.
erinnert.,mögest
mögest,du
du,doch
doch,auch
auch,des
des,andern
andern,dich
dich,erinnern
erinnern,das
das,du
du,von
von,mir
mir,gehört
gehört,hast
hast,daß
daß,ich
ich,nämlich
nämlich,mißtrauisch
mißtrauisch,und
und,müde
müde,gegen
gegen,lehre
lehre,und
und,lernen
lernen,geworden
geworden,bin
bin,und
und,daß
daß,mein
mein,glaube
glaube,klein
klein,ist
ist,an
an,worte
worte,die
die,von
von,lehrern
lehrern,zu
zu,uns
uns,kommen.
kommen.,aber
aber,wohlan
wohlan,lieber
lieber,ich
ich,bin
bin,bereit
bereit,jene
jene,lehre
lehre,zu
zu,hören--obschon
hören--obschon,ich
ich,im
im,herzen
herzen,glaube
glaube,daß
daß,wir
wir,die
die,beste
beste,frucht
frucht,jener
jener,lehre
lehre,schon
schon,gekostet
gekostet,haben.
haben.,sprach
sprach,govinda:
govinda:,"""deine"
"""deine",bereitschaft
bereitschaft,erfreut
erfreut,mein
mein,herz.
herz.,aber
aber,sage
sage,wie
wie,sollte
sollte,das
das,möglich
möglich,sein?
sein?,wie
wie,sollte
sollte,die
die,lehre
lehre,des
des,gotama
gotama,noch
noch,ehe
ehe,wir
wir,sie
sie,vernommen
vernommen,uns
uns,schon
schon,ihre
ihre,beste
beste,frucht
frucht,erschlossen
erschlossen,haben?
haben?,sprach
sprach,siddhartha:
siddhartha:,"""laß"
"""laß",diese
diese,frucht
frucht,uns
uns,genießen
genießen,und
und,das
das,weitere
weitere,abwarten
abwarten,o
o,govinda!
govinda!,diese
diese,frucht
frucht,aber
aber,die
die,wir
wir,schon
schon,jetzt
jetzt,dem
dem,gotama
gotama,verdanken
verdanken,besteht
besteht,darin
darin,daß
daß,er
er,uns
uns,von
von,den
den,samanas
samanas,hinwegruft!
hinwegruft!,ob
ob,er
er,uns
uns,noch
noch,anderes
anderes,und
und,besseres
besseres,zu
zu,geben
geben,hat
hat,o
o,freund
freund,darauf
darauf,laß
laß,uns
uns,ruhigen
ruhigen,herzens
herzens,warten.
warten.,an
an,diesem
diesem,selben
selben,tage
tage,gab
gab,siddhartha
siddhartha,dem
dem,ältesten
ältesten,der
der,samanas
samanas,seinen
seinen,entschluß
entschluß,zu
zu,wissen
wissen,daß
daß,er
er,ihn
ihn,verlassen
verlassen,wollte.
wollte.,er
er,gab
gab,ihn
ihn,dem
dem,ältesten
ältesten,zu
zu,wissen
wissen,mit
mit,der
der,höflichkeit
höflichkeit,und
und,bescheidenheit
bescheidenheit,welche
welche,dem
dem,jüngeren
jüngeren,und
und,schüler
schüler,ziemt.
ziemt.,der
der,samana
samana,aber
aber,geriet
geriet,in
in,zorn
zorn,daß
daß,die
die,beiden
beiden,jünglinge
jünglinge,ihn
ihn,verlassen
verlassen,wollten
wollten,und
und,redete
redete,laut
laut,und
und,brauchte
brauchte,grobe
grobe,schimpfworte.
schimpfworte.,govinda
govinda,erschrak
erschrak,und
und,kam
kam,in
in,verlegenheit
verlegenheit,siddhartha
siddhartha,aber
aber,neigte
neigte,den
den,mund
mund,zu
zu,govindas
govindas,ohr
ohr,und
und,flüsterte
flüsterte,ihm
ihm,zu:
zu:,"""nun"
"""nun",will
will,ich
ich,dem
dem,alten
alten,zeigen
zeigen,daß
daß,ich
ich,etwas
etwas,bei
bei,ihm
ihm,gelernt
gelernt,habe.
habe.,indem
indem,er
er,sich
sich,nahe
nahe,vor
vor,dem
dem,samana
samana,aufstellte
aufstellte,mit
mit,gesammelter
gesammelter,seele
seele,fing
fing,er
er,den
den,blick
blick,des
des,alten
alten,mit
mit,seinen
seinen,blicken
blicken,ein
ein,bannte
bannte,ihn
ihn,machte
machte,ihn
ihn,stumm
stumm,machte
machte,ihn
ihn,willenlos
willenlos,unterwarf
unterwarf,ihn
ihn,seinem
seinem,willen
willen,befahl
befahl,ihm
ihm,lautlos
lautlos,zu
zu,tun
tun,was
was,er
er,von
von,ihm
ihm,verlangte.
verlangte.,der
der,alte
alte,mann
mann,wurde
wurde,stumm
stumm,sein
sein,auge
auge,wurde
wurde,starr
starr,sein
sein,wille
wille,gelähmt
gelähmt,seine
seine,arme
arme,hingen
hingen,herab
herab,machtlos
machtlos,war
war,er
er,siddharthas
siddharthas,bezauberung
bezauberung,erlegen.
erlegen.,siddharthas
siddharthas,gedanken
gedanken,aber
aber,bemächtigten
bemächtigten,sich
sich,des
des,samana
samana,er
er,mußte
mußte,vollführen
vollführen,was
was,sie
sie,befahlen.
befahlen.,und
und,so
so,verneigte
verneigte,sich
sich,der
der,alte
alte,mehrmals
mehrmals,vollzog
vollzog,segnende
segnende,gebärden
gebärden,sprach
sprach,stammelnd
stammelnd,einen
einen,frommen
frommen,reisewunsch.
reisewunsch.,und
und,die
die,jünglinge
jünglinge,erwiderten
erwiderten,dankend
dankend,die
die,verneigungen
verneigungen,erwiderten
erwiderten,den
den,wunsch
wunsch,zogen
zogen,grüßend
grüßend,von
von,dannen.
dannen.,unterwegs
unterwegs,sagte
sagte,govinda:
govinda:,"""o"
"""o",siddhartha
siddhartha,du
du,hast
hast,bei
bei,den
den,samanas
samanas,mehr
mehr,gelernt
gelernt,als
als,ich
ich,wußte.
wußte.,es
es,ist
ist,schwer
schwer,es
es,ist
ist,sehr
sehr,schwer
schwer,einen
einen,alten
alten,samana
samana,zu
zu,bezaubern.
bezaubern.,wahrlich
wahrlich,wärest
wärest,du
du,dort
dort,geblieben
geblieben,du
du,hättest
hättest,bald
bald,gelernt
gelernt,auf
auf,dem
dem,wasser
wasser,zu
zu,gehen.
gehen.,"""ich"
"""ich",begehre
begehre,nicht
nicht,auf
auf,dem
dem,wasser
wasser,zu
zu,gehen
gehen,sagte
sagte,siddhartha.
siddhartha.,"""mögen"
"""mögen",alte
alte,samanas
samanas,mit
mit,solchen
solchen,künsten
künsten,sich
sich,zufrieden
zufrieden,geben!
geben!,gotama
gotama,in
in,der
der,stadt
stadt,savathi
savathi,kannte
kannte,jedes
jedes,kind
kind,den
den,namen
namen,des
des,erhabenen
erhabenen,buddha
buddha,und
und,jedes
jedes,haus
haus,war
war,gerüstet
gerüstet,den
den,jüngern
jüngern,gotamas
gotamas,den
den,schweigend
schweigend,bittenden
bittenden,die
die,almosenschale
almosenschale,zu
zu,füllen.
füllen.,nahe
nahe,bei
bei,der
der,stadt
stadt,lag
lag,gotamas
gotamas,liebster
liebster,aufenthalt
aufenthalt,der
der,hain
hain,jetavana
jetavana,welchen
welchen,der
der,reiche
reiche,kaufherr
kaufherr,anathapindika
anathapindika,ein
ein,ergebener
ergebener,verehrer
verehrer,des
des,erhabenen
erhabenen,ihm
ihm,und
und,den
den,seinen
seinen,zum
zum,geschenk
geschenk,gemacht
gemacht,hatte.
hatte.,nach
nach,dieser
dieser,gegend
gegend,hatten
hatten,alle
alle,erzählungen
erzählungen,und
und,antworten
antworten,hingewiesen
hingewiesen,welche
welche,den
den,beiden
beiden,jungen
jungen,asketen
asketen,auf
auf,der
der,suche
suche,nach
nach,gotamas
gotamas,aufenthalt
aufenthalt,zuteil
zuteil,wurden.
wurden.,und
und,da
da,sie
sie,in
in,savathi
savathi,ankamen
ankamen,ward
ward,ihnen
ihnen,gleich
gleich,im
im,ersten
ersten,hause
hause,vor
vor,dessen
dessen,tür
tür,sie
sie,bittend
bittend,stehen
stehen,blieben
blieben,speise
speise,angeboten
angeboten,und
und,sie
sie,nahmen
nahmen,speise
speise,an
an,und
und,siddhartha
siddhartha,fragte
fragte,die
die,frau
frau,welche
welche,ihnen
ihnen,die
die,speise
speise,reichte:
reichte:,"""gerne"
"""gerne",du
du,mildtätige
mildtätige,gerne
gerne,möchten
möchten,wir
wir,erfahren
erfahren,wo
wo,der
der,buddha
buddha,weilt
weilt,der
der,ehrwürdigste
ehrwürdigste,denn
denn,wir
wir,sind
sind,zwei
zwei,samanas
samanas,aus
aus,dem
dem,walde
walde,und
und,sind
sind,gekommen
gekommen,um
um,ihn
ihn,den
den,vollendeten
vollendeten,zu
zu,sehen
sehen,und
und,die
die,lehre
lehre,aus
aus,seinem
seinem,munde
munde,zu
zu,vernehmen.
vernehmen.,sprach
sprach,die
die,frau:
frau:,"""am"
"""am",richtigen
richtigen,orte
orte,wahrlich
wahrlich,seid
seid,ihr
ihr,hier
hier,abgestiegen
abgestiegen,ihr
ihr,samanas
samanas,aus
aus,dem
dem,walde.
walde.,wisset
wisset,in
in,jetavana
jetavana,im
im,garten
garten,anathapindikas
anathapindikas,weilt
weilt,der
der,erhabene.
erhabene.,dort
dort,möget
möget,ihr
ihr,pilger
pilger,die
die,nacht
nacht,verbringen
verbringen,denn
denn,genug
genug,raum
raum,ist
ist,daselbst
daselbst,für
für,die
die,unzähligen
unzähligen,die
die,herbeiströmen
herbeiströmen,um
um,aus
aus,seinem
seinem,munde
munde,die
die,lehre
lehre,zu
zu,hören.
hören.,da
da,freute
freute,sich
sich,govinda
govinda,und
und,voll
voll,freude
freude,rief
rief,er:
er:,"""wohl"
"""wohl",denn
denn,so
so,ist
ist,unser
unser,ziel
ziel,erreicht
erreicht,und
und,unser
unser,weg
weg,zu
zu,ende!
ende!,aber
aber,sage
sage,uns
uns,du
du,mutter
mutter,der
der,pilgernden
pilgernden,kennst
kennst,du
du,ihn
ihn,den
den,buddha
buddha,hast
hast,du
du,ihn
ihn,mit
mit,deinen
deinen,augen
augen,gesehen?
gesehen?,sprach
sprach,die
die,frau:
frau:,"""viele"
"""viele",male
male,habe
habe,ich
ich,ihn
ihn,gesehen
gesehen,den
den,erhabenen.
erhabenen.,an
an,vielen
vielen,tagen
tagen,habe
habe,ich
ich,ihn
ihn,gesehen
gesehen,wie
wie,er
er,durch
durch,die
die,gassen
gassen,geht
geht,schweigend
schweigend,im
im,gelben
gelben,mantel
mantel,wie
wie,er
er,schweigend
schweigend,an
an,den
den,haustüren
haustüren,seine
seine,almosenschale
almosenschale,darreicht
darreicht,wie
wie,er
er,die
die,gefüllte
gefüllte,schale
schale,von
von,dannen
dannen,trägt.
trägt.,entzückt
entzückt,lauschte
lauschte,govinda
govinda,und
und,wollte
wollte,noch
noch,vieles
vieles,fragen
fragen,und
und,hören.
hören.,aber
aber,siddhartha
siddhartha,mahnte
mahnte,zum
zum,weitergehen.
weitergehen.,sie
sie,sagten
sagten,dank
dank,und
und,gingen
gingen,und
und,brauchten
brauchten,kaum
kaum,nach
nach,dem
dem,wege
wege,zu
zu,fragen
fragen,denn
denn,nicht
nicht,wenige
wenige,pilger
pilger,und
und,auch
auch,mönche
mönche,aus
aus,gotamas
gotamas,gemeinschaft
gemeinschaft,waren
waren,nach
nach,dem
dem,jetavana
jetavana,unterwegs.
unterwegs.,und
und,da
da,sie
sie,in
in,der
der,nacht
nacht,dort
dort,anlangten
anlangten,war
war,daselbst
daselbst,ein
ein,beständiges
beständiges,ankommen
ankommen,rufen
rufen,und
und,reden
reden,von
von,solchen
solchen,welche
welche,herberge
herberge,heischten
heischten,und
und,bekamen.
bekamen.,die
die,beiden
beiden,samanas
samanas,des
des,lebens
lebens,im
im,walde
walde,gewohnt
gewohnt,fanden
fanden,schnell
schnell,und
und,geräuschlos
geräuschlos,einen
einen,unterschlupf
unterschlupf,und
und,ruhten
ruhten,da
da,bis
bis,zum
zum,morgen.
morgen.,beim
beim,aufgang
aufgang,der
der,sonne
sonne,sahen
sahen,sie
sie,mit
mit,erstaunen
erstaunen,welch
welch,große
große,schar
schar,gläubige
gläubige,und
und,neugierige
neugierige,hier
hier,genächtigt
genächtigt,hatte.
hatte.,in
in,allen
allen,wegen
wegen,des
des,herrlichen
herrlichen,haines
haines,wandelten
wandelten,mönche
mönche,im
im,gelben
gelben,gewand
gewand,unter
unter,den
den,bäumen
bäumen,saßen
saßen,sie
sie,hier
hier,und
und,dort
dort,in
in,betrachtung
betrachtung,versenkt--oder
versenkt--oder,im
im,geistlichen
geistlichen,gespräch
gespräch,wie
wie,eine
eine,stadt
stadt,waren
waren,die
die,schattigen
schattigen,gärten
gärten,zu
zu,sehen
sehen,voll
voll,von
von,menschen
menschen,wimmelnd
wimmelnd,wie
wie,bienen.
bienen.,die
die,mehrzahl
mehrzahl,der
der,mönche
mönche,zog
zog,mit
mit,der
der,almosenschale
almosenschale,aus
aus,um
um,in
in,der
der,stadt
stadt,nahrung
nahrung,für
für,die
die,mittagsmahlzeit
mittagsmahlzeit,die
die,einzige
einzige,des
des,tages
tages,zu
zu,sammeln.
sammeln.,auch
auch,der
der,buddha
buddha,selbst
selbst,der
der,erleuchtete
erleuchtete,pflegte
pflegte,am
am,morgen
morgen,den
den,bettelgang
bettelgang,zu
zu,tun.
tun.,siddhartha
siddhartha,sah
sah,ihn
ihn,und
und,er
er,erkannte
erkannte,ihn
ihn,alsbald
alsbald,als
als,hätte
hätte,ihm
ihm,ein
ein,gott
gott,ihn
ihn,gezeigt.
gezeigt.,er
er,sah
sah,ihn
ihn,einen
einen,schlichten
schlichten,mann
mann,in
in,gelber
gelber,kutte
kutte,die
die,almosenschale
almosenschale,in
in,der
der,hand
hand,tragend
tragend,still
still,dahin
dahin,gehen.
gehen.,"""sieh"
"""sieh",hier!
hier!,sagte
sagte,siddhartha
siddhartha,leise
leise,zu
zu,govinda.
govinda.,"""dieser"
"""dieser",hier
hier,ist
ist,der
der,buddha.
buddha.,aufmerksam
aufmerksam,blickte
blickte,govinda
govinda,den
den,mönch
mönch,in
in,der
der,gelben
gelben,kutte
kutte,an
an,der
der,sich
sich,in
in,nichts
nichts,von
von,den
den,hunderten
hunderten,der
der,mönche
mönche,zu
zu,unterscheiden
unterscheiden,schien.
schien.,und
und,bald
bald,erkannte
erkannte,auch
auch,govinda:
govinda:,dieser
dieser,ist
ist,es.
es.,und
und,sie
sie,folgten
folgten,ihm
ihm,nach
nach,und
und,betrachteten
betrachteten,ihn.
ihn.,der
der,buddha
buddha,ging
ging,seines
seines,weges
weges,bescheiden
bescheiden,und
und,in
in,gedanken
gedanken,versunken
versunken,sein
sein,stilles
stilles,gesicht
gesicht,war
war,weder
weder,fröhlich
fröhlich,noch
noch,traurig
traurig,es
es,schien
schien,leise
leise,nach
nach,innen
innen,zu
zu,lächeln.
lächeln.,mit
mit,einem
einem,verborgenen
verborgenen,lächeln
lächeln,still
still,ruhig
ruhig,einem
einem,gesunden
gesunden,kinde
kinde,nicht
nicht,unähnlich
unähnlich,wandelte
wandelte,der
der,buddha
buddha,trug
trug,das
das,gewand
gewand,und
und,setzte
setzte,den
den,fuß
fuß,gleich
gleich,wie
wie,alle
alle,seine
seine,mönche
mönche,nach
nach,genauer
genauer,vorschrift.
vorschrift.,aber
aber,sein
sein,gesicht
gesicht,und
und,sein
sein,schritt
schritt,sein
sein,still
still,gesenkter
gesenkter,blick
blick,seine
seine,still
still,herabhängende
herabhängende,hand
hand,und
und,noch
noch,jeder
jeder,finger
finger,an
an,seiner
seiner,still
still,herabhängenden
herabhängenden,hand
hand,sprach
sprach,friede
friede,sprach
sprach,vollkommenheit
vollkommenheit,suchte
suchte,nicht
nicht,ahmte
ahmte,nicht
nicht,nach
nach,atmete
atmete,sanft
sanft,in
in,einer
einer,unverwelklichen
unverwelklichen,ruhe
ruhe,in
in,einem
einem,unverwelklichen
unverwelklichen,licht
licht,einem
einem,unantastbaren
unantastbaren,frieden.
frieden.,so
so,wandelte
wandelte,gotama
gotama,der
der,stadt
stadt,entgegen
entgegen,um
um,almosen
almosen,zu
zu,sammeln
sammeln,und
und,die
die,beiden
beiden,samanas
samanas,erkannten
erkannten,ihn
ihn,einzig
einzig,an
an,der
der,vollkommenheit
vollkommenheit,seiner
seiner,ruhe
ruhe,an
an,der
der,stille
stille,seiner
seiner,gestalt
gestalt,in
in,welcher
welcher,kein
kein,suchen
suchen,kein
kein,wollen
wollen,kein
kein,nachahmen
nachahmen,kein
kein,bemühen
bemühen,zu
zu,erkennen
erkennen,war
war,nur
nur,licht
licht,und
und,frieden.
frieden.,"""heute"
"""heute",werden
werden,wir
wir,die
die,lehre
lehre,aus
aus,seinem
seinem,munde
munde,vernehmen
vernehmen,sagte
sagte,govinda.
govinda.,siddhartha
siddhartha,gab
gab,nicht
nicht,antwort.
antwort.,er
er,war
war,wenig
wenig,neugierig
neugierig,auf
auf,die
die,lehre
lehre,er
er,glaubte
glaubte,nicht
nicht,daß
daß,sie
sie,ihn
ihn,neues
neues,lehren
lehren,werde
werde,hatte
hatte,er
er,doch
doch,ebenso
ebenso,wie
wie,govinda
govinda,wieder
wieder,und
und,wieder
wieder,den
den,inhalt
inhalt,dieser
dieser,buddhalehre
buddhalehre,vernommen
vernommen,wenn
wenn,schon
schon,aus
aus,berichten
berichten,von
von,zweiter
zweiter,und
und,dritter
dritter,hand.
hand.,aber
aber,er
er,blickte
blickte,aufmerksam
aufmerksam,auf
auf,gotamas
gotamas,haupt
haupt,auf
auf,seine
seine,schultern
schultern,auf
auf,seine
seine,füße
füße,auf
auf,seine
seine,still
still,herabhängende
herabhängende,hand
hand,und
und,ihm
ihm,schien
schien,jedes
jedes,glied
glied,an
an,jedem
jedem,finger
finger,dieser
dieser,hand
hand,war
war,lehre
lehre,sprach
sprach,atmete
atmete,duftete
duftete,glänzte
glänzte,wahrheit.
wahrheit.,dieser
dieser,mann
mann,dieser
dieser,buddha
buddha,war
war,wahrhaftig
wahrhaftig,bis
bis,in
in,die
die,gebärde
gebärde,seines
seines,letzten
letzten,fingers.
fingers.,dieser
dieser,mann
mann,war
war,heilig.
heilig.,nie
nie,hatte
hatte,siddhartha
siddhartha,einen
einen,menschen
menschen,so
so,verehrt
verehrt,nie
nie,hatte
hatte,er
er,einen
einen,menschen
menschen,so
so,geliebt
geliebt,wie
wie,diesen.
diesen.,die
die,beiden
beiden,folgten
folgten,dem
dem,buddha
buddha,bis
bis,zur
zur,stadt
stadt,und
und,kehrten
kehrten,schweigend
schweigend,zurück
zurück,denn
denn,sie
sie,selbst
selbst,gedachten
gedachten,diesen
diesen,tag
tag,sich
sich,der
der,speise
speise,zu
zu,enthalten.
enthalten.,sie
sie,sahen
sahen,gotama
gotama,wiederkehren
wiederkehren,sahen
sahen,ihn
ihn,im
im,kreise
kreise,seiner
seiner,jünger
jünger,die
die,mahlzeit
mahlzeit,einnehmen--was
einnehmen--was,er
er,aß
aß,hätte
hätte,keinen
keinen,vogel
vogel,satt
satt,gemacht--und
gemacht--und,sahen
sahen,ihn
ihn,sich
sich,zurückziehen
zurückziehen,in
in,den
den,schatten
schatten,der
der,mangobäume.
mangobäume.,am
am,abend
abend,aber
aber,als
als,die
die,hitze
hitze,sich
sich,legte
legte,und
und,alles
alles,im
im,lager
lager,lebendig
lebendig,ward
ward,und
und,sich
sich,versammelte
versammelte,hörten
hörten,sie
sie,den
den,buddha
buddha,lehren.
lehren.,sie
sie,hörten
hörten,seine
seine,stimme
stimme,und
und,auch
auch,sie
sie,war
war,vollkommen
vollkommen,war
war,von
von,vollkommener
vollkommener,ruhe
ruhe,war
war,voll
voll,von
von,frieden.
frieden.,gotama
gotama,lehrte
lehrte,die
die,lehre
lehre,vom
vom,leiden
leiden,von
von,der
der,herkunft
herkunft,des
des,leidens
leidens,vom
vom,weg
weg,zur
zur,aufhebung
aufhebung,des
des,leidens.
leidens.,ruhig
ruhig,floß
floß,und
und,klar
klar,seine
seine,stille
stille,rede.
rede.,leiden
leiden,war
war,das
das,leben
leben,voll
voll,leid
leid,war
war,die
die,welt
welt,aber
aber,erlösung
erlösung,vom
vom,leid
leid,war
war,gefunden:
gefunden:,erlösung
erlösung,fand
fand,wer
wer,den
den,weg
weg,des
des,buddha
buddha,ging.
ging.,mit
mit,sanfter
sanfter,doch
doch,fester
fester,stimme
stimme,sprach
sprach,der
der,erhabene
erhabene,lehrte
lehrte,die
die,vier
vier,hauptsätze
hauptsätze,lehrte
lehrte,den
den,achtfachen
achtfachen,pfad
pfad,geduldig
geduldig,ging
ging,er
er,den
den,gewohnten
gewohnten,weg
weg,der
der,lehre
lehre,der
der,beispiele
beispiele,der
der,wiederholungen
wiederholungen,hell
hell,und
und,still
still,schwebte
schwebte,seine
seine,stimme
stimme,über
über,den
den,hörenden
hörenden,wie
wie,ein
ein,licht
licht,wie
wie,ein
ein,sternhimmel.
sternhimmel.,als
als,der
der,buddha--es
buddha--es,war
war,schon
schon,nacht
nacht,geworden--seine
geworden--seine,rede
rede,schloß
schloß,traten
traten,manche
manche,pilger
pilger,hervor
hervor,und
und,baten
baten,um
um,aufnahme
aufnahme,in
in,die
die,gemeinschaft
gemeinschaft,nahmen
nahmen,ihre
ihre,zuflucht
zuflucht,zur
zur,lehre.
lehre.,und
und,gotama
gotama,nahm
nahm,sie
sie,auf
auf,indem
indem,er
er,sprach:
sprach:,"""wohl"
"""wohl",habt
habt,ihr
ihr,die
die,lehre
lehre,vernommen
vernommen,wohl
wohl,ist
ist,sie
sie,verkündigt.
verkündigt.,tretet
tretet,denn
denn,herzu
herzu,und
und,wandelt
wandelt,in
in,heiligkeit
heiligkeit,allem
allem,leid
leid,ein
ein,ende
ende,zu
zu,bereiten.
bereiten.,siehe
siehe,da
da,trat
trat,auch
auch,govinda
govinda,hervor
hervor,der
der,schüchterne
schüchterne,und
und,sprach:
sprach:,"""auch"
"""auch",ich
ich,nehme
nehme,meine
meine,zuflucht
zuflucht,zum
zum,erhabenen
erhabenen,und
und,zu
zu,seiner
seiner,lehre
lehre,und
und,bat
bat,um
um,aufnahme
aufnahme,in
in,die
die,jüngerschaft
jüngerschaft,und
und,ward
ward,aufgenommen.
aufgenommen.,gleich
gleich,darauf
darauf,da
da,sich
sich,der
der,buddha
buddha,zur
zur,nachtruhe
nachtruhe,zurückgezogen
zurückgezogen,hatte
hatte,wendete
wendete,sich
sich,govinda
govinda,zu
zu,siddhartha
siddhartha,und
und,sprach
sprach,eifrig:
eifrig:,"""siddhartha"
"""siddhartha",nicht
nicht,steht
steht,es
es,mir
mir,zu
zu,dir
dir,einen
einen,vorwurf
vorwurf,zu
zu,machen.
machen.,beide
beide,haben
haben,wir
wir,den
den,erhabenen
erhabenen,gehört
gehört,beide
beide,haben
haben,wir
wir,die
die,lehre
lehre,vernommen.
vernommen.,govinda
govinda,hat
hat,die
die,lehre
lehre,gehört
gehört,er
er,hat
hat,seine
seine,zuflucht
zuflucht,zu
zu,ihr
ihr,genommen.
genommen.,du
du,aber
aber,verehrter
verehrter,willst
willst,denn
denn,nicht
nicht,auch
auch,du
du,den
den,pfad
pfad,der
der,erlösung
erlösung,gehen?
gehen?,willst
willst,du
du,zögern
zögern,willst
willst,du
du,noch
noch,warten?
warten?,siddhartha
siddhartha,erwachte
erwachte,wie
wie,aus
aus,einem
einem,schlafe
schlafe,als
als,er
er,govindas
govindas,worte
worte,vernahm.
vernahm.,lange
lange,blickte
blickte,er
er,in
in,govindas
govindas,gesicht.
gesicht.,dann
dann,sprach
sprach,er
er,leise
leise,mit
mit,einer
einer,stimme
stimme,ohne
ohne,spott:
spott:,"""govinda"
"""govinda",mein
mein,freund
freund,nun
nun,hast
hast,du
du,den
den,schritt
schritt,getan
getan,nun
nun,hast
hast,du
du,den
den,weg
weg,erwählt.
erwählt.,immer
immer,o
o,govinda
govinda,bist
bist,du
du,mein
mein,freund
freund,gewesen
gewesen,immer
immer,bist
bist,du
du,einen
einen,schritt
schritt,hinter
hinter,mir
mir,gegangen.
gegangen.,oft
oft,habe
habe,ich
ich,gedacht:
gedacht:,wird
wird,govinda
govinda,nicht
nicht,auch
auch,einmal
einmal,einen
einen,schritt
schritt,allein
allein,tun
tun,ohne
ohne,mich
mich,aus
aus,der
der,eigenen
eigenen,seele?
seele?,siehe
siehe,nun
nun,bist
bist,du
du,ein
ein,mann
mann,geworden
geworden,und
und,wählst
wählst,selber
selber,deinen
deinen,weg.
weg.,mögest
mögest,du
du,ihn
ihn,zu
zu,ende
ende,gehen
gehen,o
o,mein
mein,freund!
freund!,mögest
mögest,du
du,erlösung
erlösung,finden!
finden!,govinda
govinda,welcher
welcher,noch
noch,nicht
nicht,völlig
völlig,verstand
verstand,wiederholte
wiederholte,mit
mit,einem
einem,ton
ton,von
von,ungeduld
ungeduld,seine
seine,frage:
frage:,"""sprich"
"""sprich",doch
doch,ich
ich,bitte
bitte,dich
dich,mein
mein,lieber!
lieber!,sage
sage,mir
mir,wie
wie,es
es,ja
ja,nicht
nicht,anders
anders,sein
sein,kann
kann,daß
daß,auch
auch,du
du,mein
mein,gelehrter
gelehrter,freund
freund,deine
deine,zuflucht
zuflucht,zum
zum,erhabenen
erhabenen,buddha
buddha,nehmen
nehmen,wirst!
wirst!,siddhartha
siddhartha,legte
legte,seine
seine,hand
hand,auf
auf,die
die,schulter
schulter,govindas:
govindas:,"""du"
"""du",hast
hast,meinen
meinen,segenswunsch
segenswunsch,überhört
überhört,o
o,govinda.
govinda.,ich
ich,wiederhole
wiederhole,ihn:
ihn:,mögest
mögest,du
du,diesen
diesen,weg
weg,zu
zu,ende
ende,gehen!
gehen!,mögest
mögest,du
du,erlösung
erlösung,finden!
finden!,in
in,diesem
diesem,augenblick
augenblick,erkannte
erkannte,govinda
govinda,daß
daß,sein
sein,freund
freund,ihn
ihn,verlassen
verlassen,habe
habe,und
und,er
er,begann
begann,zu
zu,weinen.
weinen.,"""siddhartha!"
"""siddhartha!",rief
rief,er
er,klagend.
klagend.,siddhartha
siddhartha,sprach
sprach,freundlich
freundlich,zu
zu,ihm:
ihm:,"""vergiß"
"""vergiß",nicht
nicht,govinda
govinda,daß
daß,du
du,nun
nun,zu
zu,den
den,samanas
samanas,des
des,buddha
buddha,gehörst!
gehörst!,abgesagt
abgesagt,hast
hast,du
du,heimat
heimat,und
und,eltern
eltern,abgesagt
abgesagt,herkunft
herkunft,und
und,eigentum
eigentum,abgesagt
abgesagt,deinem
deinem,eigenen
eigenen,willen
willen,abgesagt
abgesagt,der
der,freundschaft.
freundschaft.,so
so,will
will,es
es,die
die,lehre
lehre,so
